block,fertilizer,mowing,ditch,treatment,quad,data_type,year,Agalinus purpurea ,Aster novi-belgii,Bidens bipinnata,Chamaecrista fasciculata,Clematis dioscoreifolia,Desmodium sp.,Drosera sp.,Eupatorium capillifolium,Eupatorium pilosum ,Eupatorium recurvans ,Eupatorium rotundifolium ,Eupatorium semiserratum ,Euthamia caroliniana,Gnaphaleum purpureum,Gratiola pilosa ,Hypericum sp.,Lactuca sp,Lespedeza capitata ,Lespedeza hirta ,Lobelia nuttallii ,Ludwigia alternifolia,Ludwigia hirtella,Lycopodium,Osmunda regalis,Packera tomentosa,Polygala cruciata ,Polygala lutea ,Polygonum sp.,Pteridium aquilinum ,Pycnanthemum flexuosum ,Rhexia mariana ,Rhexia virginica ,Rhus radicans ,Rubus hispidus,Scutellaria integrifolia,Smilax glauca ,Smilax rotundifolia ,Solanum carolinense,Solidago pinetorum ,Solidago puberula ,Solidago rugosa ,Solidago stricta ,Sphagnum sp,Viola primulifolia,Acer rubrum ,Amelanchier canadensis ,Clethra alnifolia,Crataegus sp.,Cyrilla racemiflora ,Ilex glabra ,Itea virginica,Liquidambar styraciflua,Magnolia virginica,Nyssa sylvatica ,Pinus taeda,Prunus serotina ,Rhus copallinum,Rubus betulifolius,Sorbus arbutifolia ,Symplocos tinctoria ,Vaccinium sp.,Viburnum nudum ,Amphicarpum purshii,Andropogon virginicus,Aristida virgata,Arundinaria tecta,Calamagrostis coarctata,Chasmanthium laxum,Dichanthelium lucidum,Dichanthelium scabriusculum,Dichanthelium scoparium,Juncus canadensis,Juncus biflorus,Juncus dichotomous,Juncus effusus,Carex glaucescens,Rhynchospora chalarocephala,Rhynchospora inexpansa,Saccharum giganteum,Scirpus cyperinus,Scleria minor,Xyris sp
1,0,0,1,C,1,p cover,2004,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,87.5,0,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75,5.5,0,0,0,1,66.25,0,20,0,0,0,0,0,1,1,0,0,0,0
1,0,0,1,C,2,p cover,2004,0,0,0,0,0,0,0,0,0,0,1,0,2.5,0,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,5.5,0,15,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,1,6.25,0,2.25,27.5,0,11.25,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,C,3,p cover,2004,0,0,0,0,0,0,0,0,0,0,0,0,9.25,0,6.25,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,68.75,0,21.75,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.75,4.75,26.25,12.5,1,32.5,0,14,0,0,0,0,0,0,5.75,0,0,0,0
1,1,0,1,F,4,p cover,2004,0,0,0,0,0,0,0,0,0,0,0,0,8.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,9.25,8.75,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,7.5,0,56.25,0,0,0,0,0,0,0,1,25,0,38.75,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,F,5,p cover,2004,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.75,0,9.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5.25,1,0,0,0,1,0,9.25,0,1.25,20,0,41.25,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,F,6,p cover,2004,0,0,0,0,0,0,0,0,0,0,1,0,36.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,94.25,0,22.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.75,1,0,0,6,65,0,16.25,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,M,49,p cover,2004,0,0,1,0,0,0,0,0,0,0,0,0,19.25,0,0,0,0,0,1,0,0,0,0,0,6.25,0,0,0,0,0,1.5,0,0,0,0,36.25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.25,0,0,0,0,0,7,0,13.75,0,2.75,40,0,80,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,M,50,p cover,2004,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1.25,0,0,0,0,0,3,0,0,0,0,3.25,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.25,2.5,0,2.75,63.75,0,37.5,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,M,51,p cover,2004,0,0,0,0,0,0,0,0,0,0,1,0,3.75,0,0,1,0,1,0,0,0,1,0,0,1.75,0,0,0,0,2.5,1,0,0,0,0,5.75,5.25,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,0,2.25,67.5,0,31.25,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,MF,52,p cover,2004,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.75,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,16.5,0,2,13.25,0,32.5,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,MF,53,p cover,2004,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,1.25,0,0,1,0,0,0,0,1,0,0,0,0,0,7.5,0,0,1.25,0,17.5,12.5,0,0,0,11,0,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0,1,1.5,1,0,0,0,1,0,0,23.75,0,6.25,40,0,46.25,0,0,0,0,1.25,0,0,0,0,0,0
1,1,1,1,MF,54,p cover,2004,0,0,0,0,0,0,0,0,0,0,1,0,19.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.25,0,0,67.5,0,13,6.5,0,0,0,1.75,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,1.25,3.75,0,0,0,1.25,47.5,0,63.75,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,C,7,p cover,2004,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,1,0,0,0,0,2,0,0,0,0,1,1.25,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,1,6.75,0,5.75,6.75,0,1,0,0,0,0,0,1,3.25,0,0,0,0
2,0,0,0,C,8,p cover,2004,0,0,0,0,0,0,0,0,0,0,1.25,0,4.25,0,4.75,4,0,0,0,0,0,0,0,0,1,0,3.75,0,17,0,3.75,0,0,0,0,16.25,0,0,0,0,1,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,3.75,0,1,30,1.5,18.75,1,12.75,8.25,0,0,0,0,0,0,0,1,0,0,0,2.5,0
2,0,0,0,C,9,p cover,2004,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,1,0,0,0,0,0,0,0,0,1,0,2.25,0,6.75,0,0,0,0,0,0,12.5,0,0,0,0,1,5.75,0,1,0,0,0,0,2.75,0,0,0,0,0,0,0,0,0,6.25,0,4,0,0,21.25,1.75,1.25,0,2.75,15,0,1,0,0,0,0,0,0,4.25,0,0,3,0
2,1,0,0,F,10,p cover,2004,0,0,0,0,0,0,0,0,0,0,0,0,32.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,20,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.25,1,0,0,0,0,1,0,14,0,6.5,52.5,0,23.75,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,F,11,p cover,2004,0,0,0,0,0,0,0,0,0,0,0,0,32.5,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,71.25,0,15,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,12.5,0,0,0,0,21.25,7.5,2.5,0,9,70,0,3,0,0,0,0,0,1,0,0,0,0,0
2,1,0,0,F,12,p cover,2004,0,1,0,0,0,0,0,0,5.25,0,1,0,72.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12.5,0,4,0,0,10,0,0,3,0,0,0,6.25,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0,0,6.25,2.25,3.75,0,5,33.75,1,5.75,0,0,0,0,0,1,3.5,0,0,0,0
2,0,1,0,M,55,p cover,2004,0,0,0,0,0,0,0,0,0,0,0,0,11.25,0,1.5,3.5,0,1,0,1,0,0,0,0,3.75,0,1,0,0,0,1.5,0,0,0,0,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,8,0,0,0,1,36.25,1.75,6.25,0,3,43.75,0,4,0,0,0,0,0,2.5,0,0,0,0,0
