sample_ID,year,treatment,fertilization,mowing,ditch,block,temp_degC,moist_percent,pH,c_percent,n_percent,C_N,n_nh4_ug_gsoil,n_no3_ug_gsoil
WRC14_01,2014,C,0,0,1,1,23.1,30.9,5.78,1.97,0.17,11.6,15.205,4.732
WRC14_02,2014,F,1,0,1,1,23.5,28.5,4.84,2.49,0.18,13.8,16.338,3.459
WRC14_03,2014,M,0,1,1,1,24.2,38.2,5.64,2.38,0.17,13.9,32.205,6.353
WRC14_04,2014,MF,1,1,1,1,23.0,23.9,5.47,1.8,0.14,12.8,14.257,4.213
WRC14_05,2014,C,0,0,0,2,23.0,29.4,5.39,2.03,0.18,11.2,9.090,4.476
WRC14_06,2014,F,1,0,0,2,22.8,21.9,5.43,1.8,0.17,10.5,10.030,3.390
WRC14_07,2014,M,0,1,0,2,25.6,19.9,5.18,1.97,0.18,11,5.893,1.295
WRC14_08,2014,MF,1,1,0,2,24.0,27.1,5.47,1.8,0.16,11.2,5.096,3.303
WRC14_09,2014,C,0,0,1,3,22.7,16.3,5.61,1.57,0.13,12.1,14.808,2.459
WRC14_10,2014,F,1,0,1,3,22.2,26.2,5.08,2.44,0.18,13.5,12.016,3.604
WRC14_11,2014,M,0,1,1,3,24.7,19.5,5.43,1.28,0.14,9.1,17.865,4.370
WRC14_12,2014,MF,1,1,1,3,23.6,25.8,5.38,2.44,0.18,13.7,10.171,4.261
WRC14_13,2014,C,0,0,0,4,22.3,24.9,5.33,2.03,0.2,10.2,10.509,3.793
WRC14_14,2014,F,1,0,0,4,22.4,21.2,5.49,1.68,0.16,10.3,8.983,1.623
WRC14_15,2014,M,0,1,0,4,25.9,21.1,5.33,1.86,0.17,10.9,8.924,2.987
WRC14_16,2014,MF,1,1,0,4,23.8,29.8,5.55,2.38,0.2,11.8,15.635,3.013
WRC14_17,2014,C,0,0,1,5,22.3,20.9,5.78,1.33,0.14,9.8,10.153,3.016
WRC14_18,2014,F,1,0,1,5,21.8,33.4,5.34,2.32,0.2,11.6,29.797,3.188
WRC14_19,2014,M,0,1,1,5,25.0,24.4,5.60,1.74,0.17,10.2,17.268,4.406
WRC14_20,2014,MF,1,1,1,5,23.4,29.6,5.51,2.49,0.19,13.1,11.705,3.121
