sample_ID,year,treatment,fertilization,mowing,ditch,block,pH_1,pH_2,pH_3,temp1_degreeC,temp2_degreeC,temp3_degreeC,moist_percent,c_percent,n_percent,C_N,n_nh4_ug_gsoil,n_no3_ug_gsoil
WRC14_01,2014,C,0,0,1,1,5.78,,,23.5,22.9,22.8,30.9,1.97,0.17,11.6,15.205,4.732
WRC14_02,2014,F,1,0,1,1,4.84,,,23,23.9,23.5,28.5,2.49,0.18,13.8,16.338,3.459
WRC14_03,2014,M,0,1,1,1,5.64,,,24.5,24.5,23.7,38.2,2.38,0.17,13.9,32.205,6.353
WRC14_04,2014,MF,1,1,1,1,5.47,,,22.8,22.8,23.5,23.9,1.8,0.14,12.8,14.257,4.213
WRC14_05,2014,C,0,0,0,2,5.39,,,23.7,22.7,22.5,29.4,2.03,0.18,11.2,9.09,4.476
WRC14_06,2014,F,1,0,0,2,5.43,,,22.8,22.7,22.8,21.9,1.8,0.17,10.5,10.03,3.39
WRC14_07,2014,M,0,1,0,2,5.18,,,25.8,25.6,25.5,19.9,1.97,0.18,11,5.893,1.295
WRC14_08,2014,MF,1,1,0,2,5.47,,,24,23.6,24.5,27.1,1.8,0.16,11.2,5.096,3.303
WRC14_09,2014,C,0,0,1,3,5.61,,,22.8,23.2,22.2,16.3,1.57,0.13,12.1,14.808,2.459
WRC14_10,2014,F,1,0,1,3,5.08,,,22,22.3,22.2,26.2,2.44,0.18,13.5,12.016,3.604
WRC14_11,2014,M,0,1,1,3,5.43,,,25,25.1,24.1,19.5,1.28,0.14,9.1,17.865,4.37
WRC14_12,2014,MF,1,1,1,3,5.38,,,23.8,23.5,23.5,25.8,2.44,0.18,13.7,10.171,4.261
WRC14_13,2014,C,0,0,0,4,5.33,,,22.1,22.3,22.4,24.9,2.03,0.2,10.2,10.509,3.793
WRC14_14,2014,F,1,0,0,4,5.49,,,22.3,22.5,22.3,21.2,1.68,0.16,10.3,8.983,1.623
WRC14_15,2014,M,0,1,0,4,5.33,,,25.8,26,25.8,21.1,1.86,0.17,10.9,8.924,2.987
WRC14_16,2014,MF,1,1,0,4,5.55,,,24,23.7,23.6,29.8,2.38,0.2,11.8,15.635,3.013
WRC14_17,2014,C,0,0,1,5,5.78,,,22.4,22.3,22.3,20.9,1.33,0.14,9.8,10.153,3.016
WRC14_18,2014,F,1,0,1,5,5.34,,,21.6,21.7,22,33.4,2.32,0.2,11.6,29.797,3.188
WRC14_19,2014,M,0,1,1,5,5.6,,,25.1,25,25,24.4,1.74,0.17,10.2,17.268,4.406
WRC14_20,2014,MF,1,1,1,5,5.51,,,23.3,23.4,23.5,29.6,2.49,0.19,13.1,11.705,3.121
WRC14_21,2014,C,0,0,0,6,5.51,,,22.1,22.8,23,30.1,1.57,0.16,9.8,9.589,4.165
WRC14_22,2014,F,1,0,0,6,5.53,,,22.7,22.6,22.6,23.6,1.91,0.18,10.6,11.637,2.605
WRC14_23,2014,M,0,1,0,6,5.79,,,26,25.7,26.6,31.4,1.97,0.17,11.6,7.173,2.619
WRC14_24,2014,MF,1,1,0,6,5.44,,,24.3,24.4,24.3,32.7,2.32,0.23,10.1,14.699,2.258
WRC14_25,2014,C,0,0,1,7,5.78,,,22.5,22.7,22.8,20.7,1.8,0.18,10,12.472,2.373
WRC14_26,2014,F,1,0,1,7,5.15,,,22.3,21.8,22,23.4,2.44,0.24,10.2,11.31,2.845
WRC14_27,2014,M,0,1,1,7,5.6,,,25,24.8,24.7,23.8,1.91,0.2,9.6,14.108,3.479
WRC14_28,2014,MF,1,1,1,7,5.66,,,25,24.1,24.7,19.7,1.39,0.14,9.9,9.35,2.793
WRC14_29,2014,C,0,0,0,8,5.51,,,23.2,22.5,23.1,27.4,1.1,0.13,8.3,9.397,2.689
WRC14_30,2014,F,1,0,0,8,5.52,,,21.8,22.4,22.9,30.3,1.57,0.18,8.8,11.527,2.467
WRC14_31,2014,M,0,1,0,8,5.59,,,26.2,26.5,26.8,32.7,1.91,0.21,9.2,9.568,3.605
WRC14_32,2014,MF,1,1,0,8,5.69,,,24.4,24.3,24.3,40.5,2.26,0.2,11.3,28.98,5.474
WRC15_33,2015,C,0,0,1,1,5.08,4.9,4.98,22,21.3,21.5,19.3,5.27,0.3,17.6,2.793,0.852
WRC15_34,2015,F,1,0,1,1,5,5,4.94,21.8,22.1,21.9,19.8,4.08,0.24,17,3.707,1.105
WRC15_35,2015,M,0,1,1,1,5.43,5.43,5.38,22.5,22.5,22.5,19.8,4.72,0.27,17.5,2.6,0.581
WRC15_36,2015,MF,1,1,1,1,5.55,5.53,5.48,22.5,22.2,22.6,19.3,3.72,0.24,15.5,2.757,0.641
WRC15_37,2015,C,0,0,0,2,4.44,4.43,4.5,22.1,21.9,21.8,19.1,4.16,0.2,20.8,1.752,0.754
